#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
653 1000 49 1.9873 2
654 1000 49 1.98726 2
655 1000 49 1.98722 2
656 1000 49 1.98718 2
657 1000 49 1.98715 2
658 1000 49 1.98711 2
659 1000 49 1.98707 2
660 1000 49 1.98703 2
661 1000 49 1.987 2
662 1000 49 1.98696 2
663 1000 49 1.98692 2
664 1000 49 1.98688 2
665 1000 49 1.98685 2
666 1000 49 1.98681 2
667 1000 49 1.98677 2
668 1000 49 1.98673 2
669 1000 49 1.9867 2
670 1000 49 1.98666 2
671 1000 49 1.98662 2
672 1000 49 1.98659 2
673 1000 49 1.98655 2
674 1000 49 1.98651 2
675 1000 49 1.98647 2
676 1000 49 1.98644 2
677 1000 49 1.9864 2
678 1000 49 1.98636 2
679 1000 49 1.98633 2
680 1000 49 1.98629 2
681 1000 49 1.98625 2
682 1000 49 1.98621 2
683 1000 49 1.98618 2
684 1000 49 1.98614 2
685 1000 49 1.9861 2
686 1000 49 1.98607 2
687 1000 49 1.98603 2
688 1000 49 1.98599 2
689 1000 49 1.98595 2
690 1000 49 1.98592 2
691 1000 49 1.98588 2
692 1000 49 1.98584 2
693 1000 49 1.98581 2
694 1000 49 1.98577 2
695 1000 49 1.98573 2
696 1000 49 1.9857 2
697 1000 49 1.98566 2
698 1000 49 1.98562 2
699 1000 49 1.98559 2
700 1000 49 1.98555 2
701 1000 49 1.98551 2
702 1000 49 1.98548 2
703 1000 49 1.98544 2
704 1000 49 1.9854 2
705 1000 49 1.98537 2
706 1000 49 1.98533 2
707 1000 49 1.98529 2
708 1000 49 1.98526 2
709 1000 49 1.98522 2
710 1000 49 1.98518 2
711 1000 49 1.98515 2
712 1000 49 1.98511 2
713 1000 49 1.98508 2
714 1000 49 1.98504 2
715 1000 49 1.985 2
716 1000 49 1.98497 2
717 1000 49 1.98493 2
718 1000 49 1.98489 2
719 1000 49 1.98486 2
720 1000 49 1.98482 2
721 1000 49 1.98478 2
722 1000 49 1.98475 2
723 1000 49 1.98471 2
724 1000 49 1.98468 2
725 1000 49 1.98464 2
726 1000 49 1.9846 2
727 1000 49 1.98457 2
728 1000 49 1.98453 2
729 1000 49 1.9845 2
730 1000 49 1.98446 2
731 1000 49 1.98442 2
732 1000 49 1.98439 2
733 1000 49 1.98435 2
734 1000 49 1.98432 2
735 1000 49 1.98428 2
736 1000 49 1.98425 2
737 1000 49 1.98421 2
738 1000 49 1.98417 2
739 1000 49 1.98414 2
740 1000 49 1.9841 2
741 1000 49 1.98407 2
742 1000 49 1.98403 2
743 1000 49 1.984 2
744 1000 49 1.98396 2
745 1000 49 1.98392 2
746 1000 49 1.98389 2
747 1000 49 1.98385 2
748 1000 49 1.98382 2
749 1000 49 1.98378 2
750 1000 49 1.98375 2
751 1000 49 1.98371 2
752 1000 49 1.98368 2
753 1000 49 1.98364 2
754 1000 49 1.98361 2
755 1000 49 1.98357 2
756 1000 49 1.98353 2
757 1000 49 1.9835 2
758 1000 49 1.98346 2
759 1000 49 1.98343 2
760 1000 49 1.98339 2
761 1000 49 1.98336 2
762 1000 49 1.98332 2
763 1000 49 1.98329 2
764 1000 49 1.98325 2
765 1000 49 1.98322 2
766 1000 49 1.98318 2
767 1000 49 1.98315 2
768 1000 49 1.98311 2
769 1000 49 1.98308 2
770 1000 49 1.98304 2
771 1000 49 1.98301 2
772 1000 49 1.98297 2
773 1000 49 1.98294 2
774 1000 49 1.9829 2
775 1000 49 1.98287 2
776 1000 49 1.98283 2
777 1000 49 1.9828 2
778 1000 49 1.98276 2
